station_id,air-temperature,timestamp (SGT),name,longitude,latitude
S109,24.6,2017-05-24 12:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 12:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 13:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 13:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 13:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 13:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 13:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 13:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.7,2017-05-24 13:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.7,2017-05-24 13:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.7,2017-05-24 13:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.7,2017-05-24 13:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 13:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.7,2017-05-24 13:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 14:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 14:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 14:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 14:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 14:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.7,2017-05-24 14:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.8,2017-05-24 14:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.9,2017-05-24 14:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.1,2017-05-24 14:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.2,2017-05-24 14:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.2,2017-05-24 14:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.3,2017-05-24 14:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 15:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 15:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.3,2017-05-24 15:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 15:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 15:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 15:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.8,2017-05-24 15:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.0,2017-05-24 15:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.1,2017-05-24 15:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.1,2017-05-24 15:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.1,2017-05-24 15:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.1,2017-05-24 15:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.0,2017-05-24 16:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.8,2017-05-24 16:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.8,2017-05-24 16:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.7,2017-05-24 16:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.7,2017-05-24 16:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.8,2017-05-24 16:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.8,2017-05-24 16:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.8,2017-05-24 16:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.8,2017-05-24 16:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.7,2017-05-24 16:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 16:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 16:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 17:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 17:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 17:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 17:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 17:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 17:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 17:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 17:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 17:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 17:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 17:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 17:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 18:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 18:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 18:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 18:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 18:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 18:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 18:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 18:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 18:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 18:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 18:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.3,2017-05-24 18:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 19:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 19:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.3,2017-05-24 19:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 19:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 19:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 19:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 19:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 19:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.3,2017-05-24 19:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.3,2017-05-24 19:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 19:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 19:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 20:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 20:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 20:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 20:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 20:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 20:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 20:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 20:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.5,2017-05-24 20:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 20:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.4,2017-05-24 20:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
