carpark_number,longitude,latitude,nbus_500,nbus_100,school_500,mrt_500
T41,103.935280471579,1.34828584134721,16,0,3,0
T42,103.932724075647,1.34928854180657,19,1,5,0
TM42,103.933507457646,1.34893697541585,20,0,5,0
J48,103.718479933848,1.35217276704395,15,0,1,0
BH1,103.842459925825,1.32499136463287,16,1,1,1
BH2,103.842858172547,1.32604597253415,15,0,1,0
BKE7,103.855322710992,1.31265941560017,10,2,1,1
BR5,103.858190639299,1.32490897064426,9,1,2,0
BRM3,103.854702460883,1.3214861743092,10,0,1,0
BRM4,103.856074033682,1.32273032442989,12,1,1,0
M16,103.886672299336,1.32843116708984,14,2,0,0
M20,103.887265561789,1.32759045265267,16,2,0,0
M35,103.885915035974,1.32728185226066,13,0,1,0
M36,103.885455996464,1.32670351840055,11,1,2,0
M37,103.88560507357,1.32767740879297,12,1,1,0
M38,103.887476664953,1.32715304864823,15,1,0,0
MM3,103.88801858425,1.32626627771418,15,0,0,0
MP12,103.907649874732,1.30318170081254,13,0,1,0
MP13,103.908850932887,1.30168637315658,9,0,1,0
MP1M,103.910010043396,1.30285526185362,10,0,2,0
PP1,103.869213959655,1.33400490206807,13,1,1,1
PP2,103.86605451411,1.33268014476888,15,1,3,1
PP3,103.865844528141,1.33360198339816,12,1,3,1
PP4,103.866119237347,1.33473291183773,11,1,3,0
PP5,103.86322285845,1.33631310151853,6,1,1,0
TP10,103.853591563851,1.33491613818982,24,2,0,1
TP14,103.852407721881,1.33588861085823,24,0,0,1
TP16,103.848316153335,1.33324574622349,19,0,1,0
TP17,103.848593279613,1.33377302249117,18,2,1,0
TP18,103.850744468143,1.33258932067388,21,1,0,0
TP2,103.84824149823,1.33617963179044,18,0,1,1
TPMG,103.844035536115,1.33822914009105,13,2,1,1
TP36,103.853788590001,1.33626310515236,25,0,1,1
TPM4,103.84934606221,1.33575415747033,21,0,1,0
TPM5,103.847339933455,1.33581868535626,19,1,1,0
TPM6,103.854623431753,1.33475998184532,24,3,1,1
TP27,103.845267557433,1.33754412799672,16,0,1,1
